name,link
JUMBO-VISMA,https://www.letour.fr/en/team/TJV/jumbo-visma
UAE TEAM EMIRATES,https://www.letour.fr/en/team/UAD/uae-team-emirates
INEOS GRENADIERS,https://www.letour.fr/en/team/IGD/ineos-grenadiers
GROUPAMA - FDJ,https://www.letour.fr/en/team/GFC/groupama-fdj
EF EDUCATION - EASYPOST,https://www.letour.fr/en/team/EFE/ef-education-easypost
SOUDAL QUICK-STEP,https://www.letour.fr/en/team/SOQ/soudal-quick-step
BAHRAIN VICTORIOUS,https://www.letour.fr/en/team/TBV/bahrain-victorious
BORA - HANSGROHE,https://www.letour.fr/en/team/BOH/bora-hansgrohe
LIDL - TREK,https://www.letour.fr/en/team/LTK/lidl-trek
AG2R CITROEN TEAM,https://www.letour.fr/en/team/ACT/ag2r-citroen-team
ALPECIN-DECEUNINCK,https://www.letour.fr/en/team/ADC/alpecin-deceuninck
INTERMARCHÃ‰ - CIRCUS - WANTY,https://www.letour.fr/en/team/ICW/intermarche-circus-wanty
COFIDIS,https://www.letour.fr/en/team/COF/cofidis
MOVISTAR TEAM,https://www.letour.fr/en/team/MOV/movistar-team
TEAM DSM - FIRMENICH,https://www.letour.fr/en/team/DSM/team-dsm-firmenich
ISRAEL - PREMIER TECH,https://www.letour.fr/en/team/IPT/israel-premier-tech
TEAM JAYCO ALULA,https://www.letour.fr/en/team/JAY/team-jayco-alula
TEAM ARKEA - SAMSIC,https://www.letour.fr/en/team/ARK/team-arkea-samsic
LOTTO DSTNY,https://www.letour.fr/en/team/LTD/lotto-dstny
ASTANA QAZAQSTAN TEAM,https://www.letour.fr/en/team/AST/astana-qazaqstan-team
UNO-X PRO CYCLING TEAM,https://www.letour.fr/en/team/UXT/uno-x-pro-cycling-team
TOTALENERGIES,https://www.letour.fr/en/team/TEN/totalenergies
